Week,dry cough: (Oklahoma),fever: (Oklahoma),COVID-19 symptoms: (Oklahoma),loss of smell: (Oklahoma),coronavirus testing center: (Oklahoma)
11/17/2019,3,37,0,1,0
11/24/2019,3,33,0,0,0
12/1/2019,2,37,0,1,0
12/8/2019,2,36,0,0,0
12/15/2019,3,41,0,0,0
12/22/2019,3,52,0,0,0
12/29/2019,3,54,0,0,0
1/5/2020,2,46,0,0,0
1/12/2020,2,54,0,0,0
1/19/2020,2,41,0,0,0
1/26/2020,2,47,0,0,0
2/2/2020,4,43,0,0,0
2/9/2020,2,50,0,1,0
2/16/2020,2,52,0,0,0
2/23/2020,2,46,1,0,0
3/1/2020,2,52,1,2,0
3/8/2020,5,59,6,1,1
3/15/2020,15,100,9,0,1
3/22/2020,10,93,9,2,0
3/29/2020,6,82,8,1,1
4/5/2020,6,55,3,2,1
4/12/2020,5,43,1,1,0
4/19/2020,1,33,2,1,0
4/26/2020,2,43,2,1,1
5/3/2020,2,33,1,0,0
5/10/2020,2,30,2,1,0
5/17/2020,2,30,3,1,1
5/24/2020,3,34,2,0,0
5/31/2020,2,28,4,0,0
6/7/2020,1,32,4,1,1
6/14/2020,1,35,10,1,2
6/21/2020,2,39,11,3,1
6/28/2020,3,46,8,3,1
7/5/2020,5,47,7,2,0
7/12/2020,2,46,14,2,2
7/19/2020,3,45,9,2,1
7/26/2020,3,34,7,2,0
8/2/2020,3,39,7,3,1
8/9/2020,1,40,5,2,1
8/16/2020,1,42,4,2,0
8/23/2020,0,35,4,2,0
8/30/2020,2,31,5,2,1
9/6/2020,2,38,5,1,0
9/13/2020,2,33,3,2,0
9/20/2020,3,37,4,1,0
9/27/2020,1,34,6,2,0
10/4/2020,2,38,6,2,0
10/11/2020,5,37,4,3,0
10/18/2020,1,38,3,1,0
10/25/2020,3,31,3,1,0
11/1/2020,1,33,4,2,0
11/8/2020,4,40,5,6,0
