Week,dry cough: (Oman),fever: (Oman),COVID-19 symptoms: (Oman),loss of smell: (Oman),coronavirus testing center: (Oman)
11/17/2019,25,75,0,0,0
11/24/2019,0,63,0,0,0
12/1/2019,0,69,0,0,0
12/8/2019,12,99,0,12,0
12/15/2019,12,73,0,0,0
12/22/2019,13,50,0,0,0
12/29/2019,25,64,0,0,0
1/5/2020,23,54,0,0,0
1/12/2020,0,49,0,0,0
1/19/2020,19,49,0,0,0
1/26/2020,17,79,0,0,0
2/2/2020,13,71,0,0,0
2/9/2020,12,52,0,0,0
2/16/2020,12,66,0,12,0
2/23/2020,11,65,0,0,0
3/1/2020,23,83,0,0,0
3/8/2020,28,87,11,0,0
3/15/2020,37,100,11,0,0
3/22/2020,28,84,16,11,0
3/29/2020,20,78,10,0,0
4/5/2020,0,72,0,0,0
4/12/2020,17,83,10,10,0
4/19/2020,42,69,16,0,0
4/26/2020,11,72,11,0,0
5/3/2020,16,53,10,10,0
5/10/2020,0,92,11,0,0
5/17/2020,11,39,0,11,0
5/24/2020,11,58,15,11,0
5/31/2020,10,81,0,0,0
6/7/2020,17,69,15,0,0
6/14/2020,21,77,21,11,0
6/21/2020,11,62,0,0,0
6/28/2020,11,78,11,0,0
7/5/2020,11,60,0,11,0
7/12/2020,11,86,0,0,0
7/19/2020,12,71,12,12,0
7/26/2020,12,62,12,0,0
8/2/2020,12,64,0,0,0
8/9/2020,0,49,11,0,0
8/16/2020,0,31,0,0,0
8/23/2020,0,31,0,0,0
8/30/2020,0,19,0,0,0
9/6/2020,11,54,0,0,0
9/13/2020,34,35,0,11,0
9/20/2020,0,53,0,11,0
9/27/2020,11,46,0,0,0
10/4/2020,11,49,11,0,0
10/11/2020,11,71,11,11,0
10/18/2020,11,33,0,11,0
10/25/2020,11,44,0,11,0
11/1/2020,0,29,10,0,0
11/8/2020,23,23,0,0,0
