Week,dry cough: (Oregon),fever: (Oregon),COVID-19 symptoms: (Oregon),loss of smell: (Oregon),coronavirus testing center: (Oregon)
11/17/2019,2,30,0,1,0
11/24/2019,3,26,0,0,0
12/1/2019,2,36,0,1,0
12/8/2019,1,40,0,1,0
12/15/2019,2,39,0,0,0
12/22/2019,3,42,0,0,0
12/29/2019,4,45,0,1,0
1/5/2020,2,37,0,1,0
1/12/2020,2,33,0,0,0
1/19/2020,2,35,0,0,0
1/26/2020,2,32,0,0,0
2/2/2020,3,32,0,1,0
2/9/2020,2,34,0,0,0
2/16/2020,3,36,0,0,0
2/23/2020,2,38,1,1,0
3/1/2020,3,56,3,0,0
3/8/2020,8,70,9,1,1
3/15/2020,14,100,10,0,1
3/22/2020,11,80,9,5,1
3/29/2020,8,58,5,2,1
4/5/2020,5,48,3,1,1
4/12/2020,2,35,1,1,0
4/19/2020,1,31,2,1,1
4/26/2020,2,35,1,1,0
5/3/2020,2,30,2,1,1
5/10/2020,1,26,3,1,0
5/17/2020,1,26,2,1,0
5/24/2020,2,24,2,0,0
5/31/2020,1,22,1,0,0
6/7/2020,1,25,2,0,0
6/14/2020,1,28,7,1,0
6/21/2020,1,31,5,1,1
6/28/2020,1,33,3,1,0
7/5/2020,2,31,2,1,0
7/12/2020,1,28,7,1,1
7/19/2020,2,29,9,1,1
7/26/2020,2,28,4,0,0
8/2/2020,2,30,4,0,1
8/9/2020,1,29,3,1,0
8/16/2020,1,26,4,1,1
8/23/2020,3,24,1,1,0
8/30/2020,2,27,1,3,1
9/6/2020,1,15,2,1,0
9/13/2020,1,22,1,1,0
9/20/2020,1,20,2,1,0
9/27/2020,1,23,1,1,0
10/4/2020,2,30,4,1,1
10/11/2020,1,22,3,1,0
10/18/2020,1,23,2,1,0
10/25/2020,2,26,2,2,1
11/1/2020,3,17,2,1,1
11/8/2020,2,24,2,2,0
