Week,dry cough: (Pakistan),fever: (Pakistan),COVID-19 symptoms: (Pakistan),loss of smell: (Pakistan),coronavirus testing center: (Pakistan)
11/17/2019,1,48,0,0,0
11/24/2019,2,47,0,0,0
12/1/2019,3,46,0,0,0
12/8/2019,4,43,0,0,0
12/15/2019,3,43,0,0,0
12/22/2019,2,36,0,0,0
12/29/2019,3,37,0,0,0
1/5/2020,2,40,0,1,0
1/12/2020,4,38,0,0,0
1/19/2020,3,38,0,0,0
1/26/2020,3,44,0,0,0
2/2/2020,4,41,0,0,0
2/9/2020,4,45,0,0,0
2/16/2020,2,44,0,0,0
2/23/2020,3,39,1,0,1
3/1/2020,3,38,0,0,0
3/8/2020,4,43,0,<1,0
3/15/2020,11,58,1,1,0
3/22/2020,19,80,2,1,1
3/29/2020,7,66,2,1,0
4/5/2020,6,46,1,1,0
4/12/2020,3,49,1,1,0
4/19/2020,3,45,1,1,1
4/26/2020,3,57,1,1,0
5/3/2020,4,51,2,2,0
5/10/2020,5,51,1,2,0
5/17/2020,4,60,2,4,0
5/24/2020,5,79,1,5,0
5/31/2020,10,100,4,13,0
6/7/2020,6,91,8,8,0
6/14/2020,5,70,6,4,0
6/21/2020,3,54,2,2,0
6/28/2020,3,42,3,1,0
7/5/2020,1,35,1,1,0
7/12/2020,1,34,<1,1,0
7/19/2020,1,37,1,<1,0
7/26/2020,1,34,1,1,0
8/2/2020,3,29,<1,1,0
8/9/2020,2,31,1,<1,0
8/16/2020,1,35,1,1,0
8/23/2020,1,31,1,<1,0
8/30/2020,2,33,1,0,0
9/6/2020,3,38,1,1,0
9/13/2020,2,44,1,<1,0
9/20/2020,2,49,2,1,0
9/27/2020,2,50,1,1,0
10/4/2020,3,48,1,1,0
10/11/2020,4,43,2,1,0
10/18/2020,3,47,1,1,0
10/25/2020,2,39,1,1,0
11/1/2020,5,43,1,4,0
11/8/2020,4,48,1,3,0
