Week,dry cough: (Pennsylvania),fever: (Pennsylvania),COVID-19 symptoms: (Pennsylvania),loss of smell: (Pennsylvania),coronavirus testing center: (Pennsylvania)
11/17/2019,2,31,0,<1,0
11/24/2019,2,29,0,<1,0
12/1/2019,2,30,0,<1,0
12/8/2019,2,28,0,0,0
12/15/2019,2,33,0,<1,0
12/22/2019,3,45,0,<1,0
12/29/2019,5,41,0,0,0
1/5/2020,2,39,0,<1,0
1/12/2020,3,42,0,0,0
1/19/2020,3,41,0,<1,0
1/26/2020,2,41,0,<1,0
2/2/2020,3,48,0,1,0
2/9/2020,3,41,<1,<1,0
2/16/2020,4,42,<1,0,<1
2/23/2020,2,45,<1,<1,0
3/1/2020,4,42,2,0,<1
3/8/2020,9,68,6,<1,1
3/15/2020,15,100,9,<1,1
3/22/2020,12,78,6,4,2
3/29/2020,8,68,5,2,1
4/5/2020,6,59,4,2,1
4/12/2020,3,43,3,1,<1
4/19/2020,3,43,3,1,<1
4/26/2020,2,32,2,1,1
5/3/2020,2,33,1,1,<1
5/10/2020,2,30,2,1,1
5/17/2020,2,27,1,1,<1
5/24/2020,2,27,1,1,<1
5/31/2020,1,26,2,1,<1
6/7/2020,1,26,2,1,0
6/14/2020,1,31,6,<1,0
6/21/2020,2,28,6,<1,<1
6/28/2020,1,37,3,1,0
7/5/2020,2,34,4,1,<1
7/12/2020,1,38,8,1,<1
7/19/2020,1,35,13,1,<1
7/26/2020,1,35,7,1,<1
8/2/2020,2,30,7,1,0
8/9/2020,2,33,3,1,0
8/16/2020,1,31,2,1,<1
8/23/2020,3,27,2,1,0
8/30/2020,1,28,3,<1,<1
9/6/2020,2,30,3,<1,<1
9/13/2020,1,27,2,1,0
9/20/2020,1,29,2,<1,0
9/27/2020,1,29,2,1,0
10/4/2020,1,32,3,1,0
10/11/2020,1,31,1,1,<1
10/18/2020,2,29,4,2,0
10/25/2020,2,29,3,1,0
11/1/2020,2,26,2,2,<1
11/8/2020,2,30,5,3,0
