Week,dry cough: (Philippines),fever: (Philippines),COVID-19 symptoms: (Philippines),loss of smell: (Philippines),coronavirus testing center: (Philippines)
11/17/2019,10,52,0,<1,0
11/24/2019,8,57,0,0,0
12/1/2019,8,50,0,<1,0
12/8/2019,8,48,0,0,0
12/15/2019,9,47,0,0,0
12/22/2019,12,51,0,<1,0
12/29/2019,11,59,0,<1,0
1/5/2020,8,62,0,<1,0
1/12/2020,9,53,0,<1,0
1/19/2020,8,56,0,0,<1
1/26/2020,12,60,0,0,0
2/2/2020,9,62,0,1,0
2/9/2020,9,55,<1,0,0
2/16/2020,5,57,1,0,0
2/23/2020,7,58,1,1,0
3/1/2020,6,53,1,1,0
3/8/2020,22,74,7,1,<1
3/15/2020,36,100,10,1,0
3/22/2020,35,92,8,5,0
3/29/2020,20,72,4,2,0
4/5/2020,14,59,4,1,<1
4/12/2020,11,60,3,2,<1
4/19/2020,9,51,3,<1,<1
4/26/2020,9,49,2,1,<1
5/3/2020,7,44,1,<1,0
5/10/2020,4,41,2,1,0
5/17/2020,5,47,2,1,0
5/24/2020,6,42,1,1,0
5/31/2020,5,41,7,1,<1
6/7/2020,6,46,12,1,0
6/14/2020,8,48,19,2,<1
6/21/2020,8,51,20,3,0
6/28/2020,11,50,5,4,<1
7/5/2020,13,55,6,6,0
7/12/2020,10,59,7,8,0
7/19/2020,13,60,27,10,<1
7/26/2020,12,57,20,10,0
8/2/2020,8,51,16,10,<1
8/9/2020,9,48,5,7,0
8/16/2020,9,50,4,6,0
8/23/2020,8,48,4,6,0
8/30/2020,7,43,4,5,0
9/6/2020,10,45,4,5,0
9/13/2020,6,44,3,4,0
9/20/2020,7,46,3,3,0
9/27/2020,7,47,4,3,<1
10/4/2020,6,36,5,3,<1
10/11/2020,5,37,3,2,<1
10/18/2020,5,37,3,2,0
10/25/2020,5,37,3,2,0
11/1/2020,6,39,3,2,0
11/8/2020,8,43,3,2,0
