Week,dry cough: (Poland),fever: (Poland),COVID-19 symptoms: (Poland),loss of smell: (Poland),coronavirus testing center: (Poland)
11/17/2019,6,66,0,3,0
11/24/2019,3,73,0,0,0
12/1/2019,0,70,0,0,0
12/8/2019,3,86,0,0,0
12/15/2019,4,100,0,0,0
12/22/2019,3,78,0,0,0
12/29/2019,3,71,0,0,0
1/5/2020,0,57,0,0,0
1/12/2020,3,79,0,0,0
1/19/2020,0,66,0,0,0
1/26/2020,3,60,0,0,0
2/2/2020,3,76,0,0,0
2/9/2020,3,81,0,0,0
2/16/2020,0,73,0,0,0
2/23/2020,3,66,3,0,0
3/1/2020,8,84,0,0,0
3/8/2020,4,83,4,0,0
3/15/2020,2,94,4,0,0
3/22/2020,4,80,2,2,0
3/29/2020,6,71,7,0,0
4/5/2020,0,85,3,3,0
4/12/2020,0,88,0,0,0
4/19/2020,0,71,0,0,0
4/26/2020,0,52,3,3,0
5/3/2020,0,53,0,0,0
5/10/2020,0,49,0,0,0
5/17/2020,3,59,0,3,0
5/24/2020,0,55,0,0,0
5/31/2020,0,49,0,0,0
6/7/2020,0,41,0,0,0
6/14/2020,3,53,0,0,0
6/21/2020,0,63,0,0,0
6/28/2020,0,51,0,0,0
7/5/2020,0,49,0,0,0
7/12/2020,0,55,3,0,0
7/19/2020,0,62,3,0,0
7/26/2020,3,64,0,3,0
8/2/2020,0,56,0,3,0
8/9/2020,3,51,0,0,0
8/16/2020,0,58,3,0,0
8/23/2020,0,55,0,0,0
8/30/2020,0,51,0,0,0
9/6/2020,0,46,3,0,0
9/13/2020,0,61,3,3,0
9/20/2020,0,68,0,0,0
9/27/2020,3,42,3,3,0
10/4/2020,3,52,3,3,0
10/11/2020,0,45,0,3,0
10/18/2020,0,62,3,3,0
10/25/2020,0,67,4,3,0
11/1/2020,3,85,4,4,0
11/8/2020,0,84,0,0,0
