Week,dry cough: (Qatar),fever: (Qatar),COVID-19 symptoms: (Qatar),loss of smell: (Qatar),coronavirus testing center: (Qatar)
11/17/2019,6,43,0,0,0
11/24/2019,13,37,0,0,0
12/1/2019,4,37,0,0,0
12/8/2019,9,41,0,0,0
12/15/2019,6,37,0,0,0
12/22/2019,9,36,0,0,0
12/29/2019,9,34,0,0,0
1/5/2020,4,37,0,0,0
1/12/2020,12,34,0,0,0
1/19/2020,6,44,0,0,0
1/26/2020,4,41,0,0,0
2/2/2020,4,45,0,0,0
2/9/2020,4,30,0,0,0
2/16/2020,4,31,4,0,0
2/23/2020,7,30,0,0,0
3/1/2020,6,50,4,0,0
3/8/2020,15,94,7,0,0
3/15/2020,12,100,7,0,0
3/22/2020,16,74,9,4,0
3/29/2020,8,43,3,0,0
4/5/2020,7,44,0,4,0
4/12/2020,9,47,4,4,0
4/19/2020,4,48,4,4,0
4/26/2020,6,62,4,4,0
5/3/2020,4,51,4,4,0
5/10/2020,19,55,8,5,0
5/17/2020,8,41,6,4,0
5/24/2020,9,50,4,5,0
5/31/2020,4,41,4,4,0
6/7/2020,7,43,5,7,0
6/14/2020,4,42,4,4,0
6/21/2020,0,23,4,6,0
6/28/2020,0,22,8,4,0
7/5/2020,0,25,4,4,0
7/12/2020,4,34,12,0,0
7/19/2020,4,29,7,4,0
7/26/2020,8,24,8,4,0
8/2/2020,0,29,4,4,0
8/9/2020,8,16,0,4,0
8/16/2020,4,31,8,4,0
8/23/2020,8,28,0,4,0
8/30/2020,0,22,0,0,0
9/6/2020,6,31,0,4,0
9/13/2020,0,20,4,4,0
9/20/2020,4,20,0,4,0
9/27/2020,4,24,4,0,0
10/4/2020,5,33,0,4,0
10/11/2020,4,29,0,0,0
10/18/2020,0,29,4,0,0
10/25/2020,4,21,4,0,0
11/1/2020,4,31,4,0,0
11/8/2020,0,20,0,9,0
