Week,dry cough: (Rhode Island),fever: (Rhode Island),COVID-19 symptoms: (Rhode Island),loss of smell: (Rhode Island),coronavirus testing center: (Rhode Island)
11/17/2019,3,34,0,0,0
11/24/2019,7,25,0,0,0
12/1/2019,3,26,0,3,0
12/8/2019,3,31,0,0,0
12/15/2019,5,38,0,0,0
12/22/2019,4,34,0,0,0
12/29/2019,6,46,0,4,0
1/5/2020,3,42,0,0,0
1/12/2020,3,53,0,0,0
1/19/2020,3,60,0,0,0
1/26/2020,3,39,0,0,0
2/2/2020,6,52,0,0,0
2/9/2020,3,63,0,0,0
2/16/2020,3,62,0,0,0
2/23/2020,6,43,3,0,0
3/1/2020,5,51,3,0,0
3/8/2020,7,90,6,0,0
3/15/2020,15,100,10,0,0
3/22/2020,15,76,16,5,0
3/29/2020,9,97,7,3,0
4/5/2020,6,59,6,0,3
4/12/2020,10,49,6,0,0
4/19/2020,3,43,4,3,3
4/26/2020,6,45,6,3,3
5/3/2020,3,46,3,0,0
5/10/2020,0,41,0,3,0
5/17/2020,3,26,4,0,3
5/24/2020,0,40,3,6,0
5/31/2020,3,23,3,3,0
6/7/2020,6,31,3,0,0
6/14/2020,5,32,6,0,3
6/21/2020,6,31,6,3,0
6/28/2020,6,30,3,0,0
7/5/2020,10,41,5,0,0
7/12/2020,5,37,13,3,0
7/19/2020,3,39,8,3,0
7/26/2020,5,38,4,3,0
8/2/2020,5,43,5,3,0
8/9/2020,0,27,3,0,0
8/16/2020,3,30,10,0,0
8/23/2020,0,32,3,6,0
8/30/2020,3,40,6,3,3
9/6/2020,3,32,3,3,0
9/13/2020,3,31,3,3,0
9/20/2020,3,32,3,0,3
9/27/2020,3,23,6,3,0
10/4/2020,3,47,7,3,3
10/11/2020,0,32,6,0,0
10/18/2020,4,44,11,4,0
10/25/2020,5,29,4,0,4
11/1/2020,3,40,4,0,3
11/8/2020,10,36,8,8,0
