Week,dry cough: (Romania),fever: (Romania),COVID-19 symptoms: (Romania),loss of smell: (Romania),coronavirus testing center: (Romania)
11/17/2019,0,60,0,0,0
11/24/2019,5,44,0,0,0
12/1/2019,0,50,0,0,0
12/8/2019,0,53,0,0,0
12/15/2019,6,49,0,0,0
12/22/2019,0,71,0,0,0
12/29/2019,0,59,0,0,0
1/5/2020,0,41,0,0,0
1/12/2020,0,44,0,0,0
1/19/2020,0,39,0,0,0
1/26/2020,0,48,0,0,0
2/2/2020,5,77,0,0,0
2/9/2020,0,44,0,0,0
2/16/2020,5,38,0,0,0
2/23/2020,5,67,5,0,0
3/1/2020,15,69,5,0,0
3/8/2020,5,89,5,0,0
3/15/2020,8,95,10,0,0
3/22/2020,7,67,9,9,0
3/29/2020,0,61,10,0,0
4/5/2020,5,51,0,0,0
4/12/2020,0,55,5,0,0
4/19/2020,5,69,5,0,0
4/26/2020,10,62,5,0,0
5/3/2020,5,57,0,5,0
5/10/2020,0,58,0,0,0
5/17/2020,0,61,0,5,0
5/24/2020,5,29,0,0,0
5/31/2020,0,47,5,0,0
6/7/2020,5,37,0,10,0
6/14/2020,0,49,0,5,0
6/21/2020,0,38,0,0,0
6/28/2020,0,42,5,0,0
7/5/2020,0,30,5,0,0
7/12/2020,16,55,0,0,0
7/19/2020,11,100,0,5,0
7/26/2020,6,50,11,6,0
8/2/2020,0,64,0,6,0
8/9/2020,6,55,0,0,0
8/16/2020,0,50,0,6,0
8/23/2020,0,86,0,6,0
8/30/2020,0,46,5,11,0
9/6/2020,6,56,0,0,0
9/13/2020,6,42,0,0,0
9/20/2020,0,27,5,0,0
9/27/2020,0,33,0,5,0
10/4/2020,0,58,10,5,0
10/11/2020,0,43,0,5,0
10/18/2020,0,46,5,11,0
10/25/2020,0,64,5,13,0
11/1/2020,5,63,0,5,0
11/8/2020,0,64,0,0,0
