Week,dry cough: (Saudi Arabia),fever: (Saudi Arabia),COVID-19 symptoms: (Saudi Arabia),loss of smell: (Saudi Arabia),coronavirus testing center: (Saudi Arabia)
11/17/2019,4,51,0,0,0
11/24/2019,3,48,0,0,0
12/1/2019,2,54,0,0,0
12/8/2019,2,42,0,2,0
12/15/2019,4,52,0,0,0
12/22/2019,3,42,0,0,0
12/29/2019,5,37,0,0,0
1/5/2020,4,48,0,0,0
1/12/2020,4,37,0,0,0
1/19/2020,5,41,0,2,0
1/26/2020,5,42,0,0,0
2/2/2020,8,47,0,0,0
2/9/2020,3,41,0,0,0
2/16/2020,5,44,0,0,0
2/23/2020,4,39,0,2,0
3/1/2020,3,44,2,0,0
3/8/2020,10,88,3,2,0
3/15/2020,10,100,3,4,0
3/22/2020,12,96,4,2,0
3/29/2020,11,58,2,2,0
4/5/2020,5,51,3,2,0
4/12/2020,5,58,3,0,0
4/19/2020,2,38,5,0,0
4/26/2020,4,51,2,2,0
5/3/2020,6,46,4,2,0
5/10/2020,10,59,2,4,0
5/17/2020,3,66,5,5,0
5/24/2020,7,76,3,5,0
5/31/2020,7,89,8,6,0
6/7/2020,9,90,6,4,0
6/14/2020,7,64,12,6,0
6/21/2020,10,63,9,3,0
6/28/2020,5,64,3,2,0
7/5/2020,7,54,5,4,0
7/12/2020,3,45,3,5,0
7/19/2020,8,39,7,3,0
7/26/2020,4,42,5,2,0
8/2/2020,2,48,5,2,0
8/9/2020,6,40,5,4,0
8/16/2020,4,43,2,2,0
8/23/2020,2,35,2,0,0
8/30/2020,2,29,3,0,0
9/6/2020,2,32,4,3,0
9/13/2020,3,41,3,2,0
9/20/2020,0,27,0,2,0
9/27/2020,3,33,3,2,0
10/4/2020,3,42,2,4,0
10/11/2020,2,28,2,2,0
10/18/2020,2,34,2,3,0
10/25/2020,3,29,0,2,0
11/1/2020,2,34,2,2,0
11/8/2020,3,31,3,3,0
