Week,dry cough: (Serbia),fever: (Serbia),COVID-19 symptoms: (Serbia),loss of smell: (Serbia),coronavirus testing center: (Serbia)
11/17/2019,12,40,0,0,0
11/24/2019,0,38,0,0,0
12/1/2019,0,30,0,0,0
12/8/2019,0,38,0,0,0
12/15/2019,0,39,0,0,0
12/22/2019,11,22,0,0,0
12/29/2019,0,67,0,0,0
1/5/2020,0,30,0,0,0
1/12/2020,0,35,0,0,0
1/19/2020,0,81,0,0,0
1/26/2020,0,53,0,0,0
2/2/2020,11,49,0,0,0
2/9/2020,0,39,0,0,0
2/16/2020,0,51,0,0,0
2/23/2020,0,35,0,0,0
3/1/2020,10,38,0,0,0
3/8/2020,21,38,31,0,0
3/15/2020,10,100,10,0,0
3/22/2020,19,82,0,19,0
3/29/2020,10,55,10,10,0
4/5/2020,0,61,0,0,0
4/12/2020,10,45,0,0,0
4/19/2020,0,54,0,0,0
4/26/2020,10,44,0,0,0
5/3/2020,0,31,0,0,0
5/10/2020,0,53,0,0,0
5/17/2020,0,55,10,0,0
5/24/2020,0,26,0,10,0
5/31/2020,0,30,10,0,0
6/7/2020,0,24,0,0,0
6/14/2020,10,49,0,0,0
6/21/2020,0,63,0,11,0
6/28/2020,11,32,0,14,0
7/5/2020,11,44,11,22,0
7/12/2020,0,64,0,11,0
7/19/2020,11,64,0,0,0
7/26/2020,12,42,0,12,0
8/2/2020,0,47,11,0,0
8/9/2020,0,41,0,0,0
8/16/2020,0,27,0,0,0
8/23/2020,0,23,0,0,0
8/30/2020,11,45,0,0,0
9/6/2020,0,23,0,0,0
9/13/2020,0,42,0,0,0
9/20/2020,0,52,0,0,0
9/27/2020,0,34,0,0,0
10/4/2020,0,52,0,0,0
10/11/2020,11,34,11,0,0
10/18/2020,0,50,0,12,0
10/25/2020,11,48,0,0,0
11/1/2020,0,50,0,21,0
11/8/2020,0,26,0,0,0
