Week,dry cough: (Singapore),fever: (Singapore),COVID-19 symptoms: (Singapore),loss of smell: (Singapore),coronavirus testing center: (Singapore)
11/17/2019,2,38,0,0,0
11/24/2019,2,36,0,0,0
12/1/2019,2,44,0,0,0
12/8/2019,3,44,0,0,0
12/15/2019,2,48,0,0,0
12/22/2019,3,59,0,1,0
12/29/2019,2,60,0,0,0
1/5/2020,1,51,0,0,0
1/12/2020,2,45,0,0,0
1/19/2020,3,58,0,1,0
1/26/2020,5,82,0,0,0
2/2/2020,7,75,0,0,0
2/9/2020,10,100,2,0,0
2/16/2020,5,60,2,0,0
2/23/2020,4,52,1,0,0
3/1/2020,3,46,1,0,0
3/8/2020,3,57,3,1,0
3/15/2020,8,65,4,1,0
3/22/2020,5,69,4,2,0
3/29/2020,6,56,5,2,0
4/5/2020,7,46,4,1,0
4/12/2020,3,46,1,1,0
4/19/2020,1,41,1,1,0
4/26/2020,2,37,1,<1,0
5/3/2020,1,30,1,1,0
5/10/2020,1,30,2,<1,0
5/17/2020,1,33,1,<1,0
5/24/2020,1,30,1,<1,0
5/31/2020,1,27,1,<1,0
6/7/2020,1,34,2,<1,0
6/14/2020,1,39,3,0,0
6/21/2020,1,37,3,1,0
6/28/2020,1,34,1,<1,0
7/5/2020,1,35,2,<1,0
7/12/2020,2,41,2,0,0
7/19/2020,1,38,3,1,0
7/26/2020,1,39,4,0,0
8/2/2020,1,36,2,1,0
8/9/2020,3,32,2,1,0
8/16/2020,1,30,2,1,0
8/23/2020,1,29,2,1,0
8/30/2020,1,29,1,1,0
9/6/2020,<1,28,1,0,0
9/13/2020,1,26,2,1,0
9/20/2020,1,28,1,1,0
9/27/2020,1,31,1,1,0
10/4/2020,1,25,1,0,0
10/11/2020,1,25,1,1,0
10/18/2020,1,24,0,0,0
10/25/2020,1,26,1,1,0
11/1/2020,1,23,1,0,0
11/8/2020,1,20,0,1,0
