Week,dry cough: (South Africa),fever: (South Africa),COVID-19 symptoms: (South Africa),loss of smell: (South Africa),coronavirus testing center: (South Africa)
11/17/2019,3,40,0,1,0
11/24/2019,3,49,0,1,0
12/1/2019,2,40,0,0,0
12/8/2019,2,39,0,0,0
12/15/2019,2,48,0,1,0
12/22/2019,3,44,0,0,0
12/29/2019,3,44,0,0,0
1/5/2020,1,36,0,1,0
1/12/2020,2,41,0,0,0
1/19/2020,2,40,0,1,0
1/26/2020,2,40,0,1,0
2/2/2020,2,42,0,0,0
2/9/2020,2,42,<1,<1,0
2/16/2020,3,44,<1,0,0
2/23/2020,3,42,0,<1,<1
3/1/2020,3,46,1,0,0
3/8/2020,7,58,2,0,0
3/15/2020,14,100,8,0,1
3/22/2020,15,92,8,1,<1
3/29/2020,10,75,7,<1,<1
4/5/2020,7,57,4,1,0
4/12/2020,7,59,2,1,0
4/19/2020,6,52,3,<1,0
4/26/2020,4,50,3,1,0
5/3/2020,3,52,3,1,0
5/10/2020,3,57,3,<1,0
5/17/2020,4,52,2,1,<1
5/24/2020,3,50,5,1,0
5/31/2020,3,40,9,1,<1
6/7/2020,3,46,15,1,0
6/14/2020,4,45,17,3,<1
6/21/2020,6,43,38,4,<1
6/28/2020,8,48,30,6,<1
7/5/2020,6,55,36,12,1
7/12/2020,5,51,28,8,<1
7/19/2020,7,46,38,11,0
7/26/2020,4,41,18,8,0
8/2/2020,7,41,14,4,0
8/9/2020,4,36,5,3,0
8/16/2020,3,36,4,2,0
8/23/2020,3,37,7,1,0
8/30/2020,2,32,6,2,0
9/6/2020,4,32,8,1,0
9/13/2020,3,39,9,1,0
9/20/2020,3,33,7,1,0
9/27/2020,3,36,9,1,0
10/4/2020,3,33,7,1,0
10/11/2020,5,37,8,2,0
10/18/2020,5,41,7,1,0
10/25/2020,3,38,3,1,0
11/1/2020,4,31,3,2,0
11/8/2020,2,39,3,3,0
