Week,dry cough: (South Carolina),fever: (South Carolina),COVID-19 symptoms: (South Carolina),loss of smell: (South Carolina),coronavirus testing center: (South Carolina)
11/17/2019,3,47,0,0,0
11/24/2019,3,34,0,1,0
12/1/2019,4,36,0,1,0
12/8/2019,3,39,0,0,0
12/15/2019,2,50,0,1,0
12/22/2019,1,48,0,0,0
12/29/2019,5,42,0,1,0
1/5/2020,3,44,0,1,0
1/12/2020,3,39,0,0,0
1/19/2020,2,42,0,1,0
1/26/2020,4,46,0,1,0
2/2/2020,2,52,0,2,0
2/9/2020,3,47,0,1,0
2/16/2020,3,37,0,1,0
2/23/2020,4,51,1,0,0
3/1/2020,3,53,2,1,0
3/8/2020,8,66,4,1,0
3/15/2020,11,100,8,0,1
3/22/2020,13,89,6,3,1
3/29/2020,9,72,6,2,1
4/5/2020,6,53,6,1,1
4/12/2020,4,46,2,1,0
4/19/2020,1,36,5,1,0
4/26/2020,3,39,2,1,1
5/3/2020,3,35,3,0,0
5/10/2020,3,33,3,1,1
5/17/2020,1,32,2,1,1
5/24/2020,2,31,2,1,1
5/31/2020,1,34,2,1,1
6/7/2020,3,29,4,1,1
6/14/2020,2,38,18,1,1
6/21/2020,2,48,19,2,1
6/28/2020,3,49,9,2,1
7/5/2020,2,57,9,4,1
7/12/2020,3,47,11,2,1
7/19/2020,2,49,15,3,0
7/26/2020,5,42,9,1,1
8/2/2020,2,40,7,2,0
8/9/2020,2,39,5,3,0
8/16/2020,2,37,3,2,0
8/23/2020,0,34,3,2,1
8/30/2020,2,40,4,2,0
9/6/2020,2,32,3,1,1
9/13/2020,1,36,3,1,0
9/20/2020,1,35,1,1,0
9/27/2020,3,34,4,2,0
10/4/2020,2,40,3,2,1
10/11/2020,3,37,5,2,0
10/18/2020,1,34,3,2,1
10/25/2020,2,31,3,3,0
11/1/2020,1,26,2,1,0
11/8/2020,3,21,2,0,0
