Week,dry cough: (South Dakota),fever: (South Dakota),COVID-19 symptoms: (South Dakota),loss of smell: (South Dakota),coronavirus testing center: (South Dakota)
11/17/2019,5,24,0,4,0
11/24/2019,5,25,0,0,0
12/1/2019,0,22,0,0,0
12/8/2019,5,32,0,5,0
12/15/2019,0,36,0,0,0
12/22/2019,5,29,0,0,0
12/29/2019,0,45,0,0,0
1/5/2020,0,33,0,0,0
1/12/2020,9,44,0,4,0
1/19/2020,4,42,0,0,0
1/26/2020,7,40,0,0,0
2/2/2020,0,42,0,0,0
2/9/2020,0,51,0,4,0
2/16/2020,4,47,0,0,0
2/23/2020,4,38,4,4,0
3/1/2020,4,42,0,0,0
3/8/2020,13,74,4,0,0
3/15/2020,17,100,6,0,0
3/22/2020,9,65,6,4,0
3/29/2020,13,46,14,0,0
4/5/2020,0,44,4,4,0
4/12/2020,7,43,6,7,0
4/19/2020,4,29,8,4,0
4/26/2020,4,35,4,0,0
5/3/2020,0,23,8,4,0
5/10/2020,0,16,4,0,0
5/17/2020,8,22,0,4,0
5/24/2020,4,35,7,0,0
5/31/2020,7,21,4,0,0
6/7/2020,4,28,8,0,0
6/14/2020,9,14,17,4,0
6/21/2020,9,25,6,4,0
6/28/2020,0,21,9,9,0
7/5/2020,9,41,4,0,0
7/12/2020,9,18,6,0,0
7/19/2020,9,27,15,4,0
7/26/2020,0,19,4,4,0
8/2/2020,4,22,7,0,0
8/9/2020,4,26,9,4,0
8/16/2020,4,33,4,0,0
8/23/2020,0,27,8,4,0
8/30/2020,4,32,6,4,0
9/6/2020,8,16,12,4,0
9/13/2020,4,22,4,10,0
9/20/2020,4,36,5,8,0
9/27/2020,4,34,4,9,0
10/4/2020,13,33,4,4,0
10/11/2020,5,43,7,14,0
10/18/2020,0,33,7,5,0
10/25/2020,14,41,14,14,0
11/1/2020,4,39,4,7,0
11/8/2020,0,38,10,0,0
