Week,dry cough: (South Korea),fever: (South Korea),COVID-19 symptoms: (South Korea),loss of smell: (South Korea),coronavirus testing center: (South Korea)
11/17/2019,0,60,0,0,0
11/24/2019,4,89,0,0,0
12/1/2019,4,100,0,0,0
12/8/2019,8,77,0,0,0
12/15/2019,0,62,0,0,0
12/22/2019,4,74,0,4,0
12/29/2019,4,50,0,0,0
1/5/2020,0,34,0,0,0
1/12/2020,4,55,0,0,0
1/19/2020,0,60,0,0,0
1/26/2020,0,61,0,0,0
2/2/2020,0,55,0,0,0
2/9/2020,4,38,0,0,0
2/16/2020,0,62,5,0,0
2/23/2020,3,83,10,0,0
3/1/2020,3,54,3,0,0
3/8/2020,3,61,3,0,0
3/15/2020,3,74,3,0,0
3/22/2020,3,62,3,3,0
3/29/2020,5,58,3,7,0
4/5/2020,6,59,0,0,0
4/12/2020,6,53,6,0,0
4/19/2020,0,43,5,0,0
4/26/2020,0,53,0,0,0
5/3/2020,0,56,6,3,0
5/10/2020,0,39,0,0,0
5/17/2020,0,57,0,0,0
5/24/2020,3,51,3,0,0
5/31/2020,0,55,0,0,0
6/7/2020,3,36,0,0,0
6/14/2020,3,44,0,0,0
6/21/2020,0,43,0,0,0
6/28/2020,3,53,0,0,0
7/5/2020,0,48,0,0,0
7/12/2020,3,38,3,0,0
7/19/2020,5,38,0,0,0
7/26/2020,3,47,0,3,0
8/2/2020,3,40,3,0,0
8/9/2020,3,42,3,0,0
8/16/2020,3,38,3,0,0
8/23/2020,0,27,0,3,0
8/30/2020,3,41,3,0,0
9/6/2020,3,33,3,0,0
9/13/2020,0,36,6,0,0
9/20/2020,0,37,6,0,0
9/27/2020,0,32,4,0,0
10/4/2020,0,41,7,0,0
10/11/2020,4,49,0,0,0
10/18/2020,4,33,0,0,0
10/25/2020,5,45,4,0,0
11/1/2020,3,35,0,0,0
11/8/2020,0,39,0,0,0
