Week,dry cough: (Spain),fever: (Spain),COVID-19 symptoms: (Spain),loss of smell: (Spain),coronavirus testing center: (Spain)
11/17/2019,1,52,0,0,0
11/24/2019,1,54,0,0,0
12/1/2019,1,56,0,0,0
12/8/2019,2,51,0,0,0
12/15/2019,2,59,0,0,0
12/22/2019,0,54,0,1,0
12/29/2019,1,50,0,0,0
1/5/2020,2,37,0,0,0
1/12/2020,2,52,0,0,0
1/19/2020,3,56,0,1,0
1/26/2020,2,58,0,0,0
2/2/2020,1,66,0,0,0
2/9/2020,2,65,0,0,0
2/16/2020,1,53,1,0,0
2/23/2020,1,63,1,1,0
3/1/2020,3,62,3,0,0
3/8/2020,5,72,4,0,0
3/15/2020,6,67,2,2,0
3/22/2020,2,67,1,3,0
3/29/2020,2,48,1,2,0
4/5/2020,3,46,2,0,0
4/12/2020,1,52,0,1,0
4/19/2020,1,100,1,1,0
4/26/2020,0,55,1,1,0
5/3/2020,1,45,1,1,0
5/10/2020,2,43,1,0,0
5/17/2020,0,36,2,0,0
5/24/2020,1,46,1,0,0
5/31/2020,1,31,0,0,0
6/7/2020,1,33,0,0,0
6/14/2020,2,39,1,1,0
6/21/2020,1,41,1,1,0
6/28/2020,1,32,1,0,0
7/5/2020,1,37,1,0,0
7/12/2020,0,41,1,0,0
7/19/2020,2,43,2,0,0
7/26/2020,1,48,1,1,0
8/2/2020,3,49,0,1,0
8/9/2020,1,37,0,0,0
8/16/2020,3,40,0,2,0
8/23/2020,1,46,4,0,0
8/30/2020,0,43,2,1,0
9/6/2020,1,48,2,0,0
9/13/2020,0,39,2,1,0
9/20/2020,0,39,2,1,0
9/27/2020,2,32,2,1,0
10/4/2020,1,34,1,1,0
10/11/2020,1,48,0,2,0
10/18/2020,0,34,2,1,0
10/25/2020,1,48,0,1,0
11/1/2020,1,53,0,1,0
11/8/2020,0,54,3,0,0
