Week,dry cough: (Sweden),fever: (Sweden),COVID-19 symptoms: (Sweden),loss of smell: (Sweden),coronavirus testing center: (Sweden)
11/17/2019,0,42,0,0,0
11/24/2019,2,33,0,0,0
12/1/2019,2,47,0,0,0
12/8/2019,2,51,0,0,0
12/15/2019,0,61,0,0,0
12/22/2019,3,52,0,0,0
12/29/2019,0,49,0,0,0
1/5/2020,2,47,0,0,0
1/12/2020,2,40,0,0,0
1/19/2020,2,59,0,0,0
1/26/2020,0,62,0,0,0
2/2/2020,2,49,0,0,0
2/9/2020,0,62,0,0,0
2/16/2020,0,49,0,0,0
2/23/2020,2,52,3,2,0
3/1/2020,6,64,5,0,0
3/8/2020,7,79,8,0,0
3/15/2020,12,100,8,2,0
3/22/2020,5,81,7,4,0
3/29/2020,3,67,9,4,0
4/5/2020,5,64,5,5,0
4/12/2020,7,67,4,2,0
4/19/2020,2,62,4,2,0
4/26/2020,3,44,3,2,0
5/3/2020,2,65,6,2,0
5/10/2020,0,57,2,2,0
5/17/2020,2,53,2,2,0
5/24/2020,0,41,4,2,0
5/31/2020,2,43,2,4,0
6/7/2020,2,42,2,2,0
6/14/2020,4,48,2,5,0
6/21/2020,4,50,2,2,0
6/28/2020,2,44,2,0,0
7/5/2020,0,43,0,2,0
7/12/2020,0,47,5,3,0
7/19/2020,0,44,5,4,0
7/26/2020,0,35,0,2,0
8/2/2020,2,41,5,5,0
8/9/2020,0,44,0,0,0
8/16/2020,0,35,2,0,0
8/23/2020,2,59,0,0,0
8/30/2020,5,48,2,0,0
9/6/2020,2,50,0,2,0
9/13/2020,5,55,5,0,0
9/20/2020,2,37,2,0,0
9/27/2020,5,35,2,2,0
10/4/2020,0,39,0,2,0
10/11/2020,5,37,8,3,0
10/18/2020,3,31,4,8,0
10/25/2020,3,35,0,0,0
11/1/2020,5,40,0,0,0
11/8/2020,6,31,6,6,0
