Week,dry cough: (Taiwan),fever: (Taiwan),COVID-19 symptoms: (Taiwan),loss of smell: (Taiwan),coronavirus testing center: (Taiwan)
11/17/2019,0,67,0,0,0
11/24/2019,2,100,0,0,0
12/1/2019,0,75,0,0,0
12/8/2019,3,84,0,0,0
12/15/2019,0,98,0,0,0
12/22/2019,0,70,0,0,0
12/29/2019,2,75,0,0,0
1/5/2020,0,66,0,0,0
1/12/2020,0,62,0,0,0
1/19/2020,0,83,0,0,0
1/26/2020,0,96,0,0,0
2/2/2020,2,71,0,0,0
2/9/2020,0,69,0,0,0
2/16/2020,2,82,2,0,0
2/23/2020,2,69,2,0,0
3/1/2020,2,88,2,0,0
3/8/2020,5,86,5,0,0
3/15/2020,5,78,7,2,0
3/22/2020,0,63,2,2,0
3/29/2020,0,57,0,2,0
4/5/2020,0,65,5,0,0
4/12/2020,2,68,0,0,0
4/19/2020,2,63,0,0,0
4/26/2020,2,62,0,2,0
5/3/2020,0,56,0,0,0
5/10/2020,0,66,2,0,0
5/17/2020,0,70,0,0,0
5/24/2020,0,86,0,0,0
5/31/2020,2,92,0,0,0
6/7/2020,2,67,0,0,0
6/14/2020,0,63,0,0,0
6/21/2020,0,68,0,0,0
6/28/2020,2,52,0,0,0
7/5/2020,0,55,0,0,0
7/12/2020,0,47,0,0,0
7/19/2020,0,46,2,0,0
7/26/2020,0,37,0,0,0
8/2/2020,0,45,2,0,0
8/9/2020,0,44,0,0,0
8/16/2020,0,47,0,0,0
8/23/2020,0,52,0,0,0
8/30/2020,0,53,0,0,0
9/6/2020,0,60,0,0,0
9/13/2020,0,58,0,0,0
9/20/2020,0,41,2,0,0
9/27/2020,3,81,0,0,0
10/4/2020,2,37,0,2,0
10/11/2020,0,43,3,0,0
10/18/2020,0,48,0,0,0
10/25/2020,3,47,0,0,0
11/1/2020,2,57,0,2,0
11/8/2020,0,50,0,0,0
