Week,dry cough: (Tanzania),fever: (Tanzania),COVID-19 symptoms: (Tanzania),loss of smell: (Tanzania),coronavirus testing center: (Tanzania)
11/17/2019,0,98,0,0,0
11/24/2019,9,68,0,0,0
12/1/2019,9,59,0,0,0
12/8/2019,0,74,0,0,0
12/15/2019,14,73,0,0,0
12/22/2019,15,46,0,0,0
12/29/2019,0,67,0,0,0
1/5/2020,0,56,0,0,0
1/12/2020,13,72,0,0,0
1/19/2020,9,61,0,0,0
1/26/2020,0,60,0,0,0
2/2/2020,0,72,0,0,0
2/9/2020,0,78,0,0,0
2/16/2020,0,61,0,0,0
2/23/2020,9,56,9,0,0
3/1/2020,0,59,0,0,0
3/8/2020,13,48,9,0,0
3/15/2020,28,92,0,0,0
3/22/2020,12,58,0,0,0
3/29/2020,18,74,0,0,0
4/5/2020,10,73,0,10,0
4/12/2020,14,92,13,0,0
4/19/2020,13,81,10,10,0
4/26/2020,17,87,10,15,0
5/3/2020,15,100,19,39,0
5/10/2020,10,42,0,10,0
5/17/2020,0,29,10,10,0
5/24/2020,10,76,0,0,0
5/31/2020,18,56,0,9,0
6/7/2020,0,52,0,8,0
6/14/2020,0,67,0,0,0
6/21/2020,8,43,8,8,0
6/28/2020,8,39,0,0,0
7/5/2020,11,28,8,8,0
7/12/2020,8,45,0,8,0
7/19/2020,8,59,0,0,0
7/26/2020,0,49,9,0,0
8/2/2020,8,75,8,0,0
8/9/2020,8,37,8,8,0
8/16/2020,8,47,8,0,0
8/23/2020,0,49,0,0,0
8/30/2020,0,32,0,0,0
9/6/2020,8,62,8,0,0
9/13/2020,8,52,8,0,0
9/20/2020,0,50,8,8,0
9/27/2020,0,40,0,0,0
10/4/2020,8,49,0,8,0
10/11/2020,9,40,9,0,0
10/18/2020,9,57,0,0,0
10/25/2020,8,25,0,0,0
11/1/2020,0,33,0,0,0
11/8/2020,21,22,0,0,0
