Week,dry cough: (Tennessee),fever: (Tennessee),COVID-19 symptoms: (Tennessee),loss of smell: (Tennessee),coronavirus testing center: (Tennessee)
11/17/2019,2,41,0,<1,0
11/24/2019,2,34,0,1,0
12/1/2019,2,35,0,0,0
12/8/2019,2,36,0,<1,0
12/15/2019,3,46,0,0,0
12/22/2019,3,51,0,<1,0
12/29/2019,3,44,0,0,0
1/5/2020,3,43,0,<1,0
1/12/2020,2,42,0,0,0
1/19/2020,2,39,0,<1,0
1/26/2020,2,45,0,<1,0
2/2/2020,3,49,0,<1,0
2/9/2020,3,40,0,0,0
2/16/2020,3,41,0,<1,0
2/23/2020,3,43,1,<1,0
3/1/2020,3,47,1,<1,<1
3/8/2020,6,58,4,<1,<1
3/15/2020,11,100,7,<1,1
3/22/2020,12,84,9,3,1
3/29/2020,7,68,5,1,0
4/5/2020,5,57,4,1,1
4/12/2020,4,40,3,1,<1
4/19/2020,2,37,2,<1,1
4/26/2020,2,32,2,1,1
5/3/2020,1,31,3,<1,<1
5/10/2020,2,32,1,1,1
5/17/2020,2,32,2,<1,0
5/24/2020,2,32,2,<1,0
5/31/2020,1,30,2,<1,0
6/7/2020,1,33,2,1,0
6/14/2020,2,33,6,1,0
6/21/2020,2,37,13,1,1
6/28/2020,2,40,6,2,1
7/5/2020,3,47,7,1,<1
7/12/2020,2,42,10,3,1
7/19/2020,1,37,15,2,0
7/26/2020,2,37,10,1,0
8/2/2020,1,40,7,1,<1
8/9/2020,1,35,3,2,<1
8/16/2020,1,38,4,1,<1
8/23/2020,1,36,3,1,<1
8/30/2020,3,32,3,1,<1
9/6/2020,2,33,3,2,<1
9/13/2020,1,34,4,1,<1
9/20/2020,2,32,2,1,<1
9/27/2020,1,33,3,1,0
10/4/2020,2,40,4,2,0
10/11/2020,2,32,3,2,1
10/18/2020,2,39,4,2,0
10/25/2020,2,31,4,2,1
11/1/2020,1,31,2,2,0
11/8/2020,1,35,3,3,0
