Week,dry cough: (Texas),fever: (Texas),COVID-19 symptoms: (Texas),loss of smell: (Texas),coronavirus testing center: (Texas)
11/17/2019,3,46,0,<1,0
11/24/2019,3,42,0,<1,0
12/1/2019,3,43,0,<1,0
12/8/2019,3,45,0,<1,0
12/15/2019,3,49,0,<1,0
12/22/2019,3,63,0,<1,0
12/29/2019,4,53,0,<1,0
1/5/2020,3,56,0,<1,0
1/12/2020,2,50,0,<1,0
1/19/2020,3,44,0,<1,<1
1/26/2020,2,48,0,<1,0
2/2/2020,3,49,0,<1,0
2/9/2020,3,45,<1,0,0
2/16/2020,2,46,<1,<1,<1
2/23/2020,3,46,<1,<1,<1
3/1/2020,4,51,1,<1,<1
3/8/2020,8,72,4,<1,1
3/15/2020,14,100,8,<1,2
3/22/2020,12,89,8,3,1
3/29/2020,9,74,6,1,1
4/5/2020,7,59,5,1,1
4/12/2020,4,46,2,<1,1
4/19/2020,3,41,2,1,<1
4/26/2020,3,40,2,1,<1
5/3/2020,2,34,2,<1,<1
5/10/2020,2,35,3,1,<1
5/17/2020,2,35,2,1,<1
5/24/2020,1,34,1,<1,<1
5/31/2020,2,33,2,<1,<1
6/7/2020,1,36,4,1,<1
6/14/2020,3,50,18,3,1
6/21/2020,3,56,22,4,1
6/28/2020,3,59,10,4,1
7/5/2020,2,56,8,4,1
7/12/2020,2,49,9,2,<1
7/19/2020,2,44,13,2,<1
7/26/2020,1,36,7,2,<1
8/2/2020,2,37,6,1,<1
8/9/2020,1,36,3,1,<1
8/16/2020,2,32,3,1,<1
8/23/2020,1,30,2,1,<1
8/30/2020,1,31,2,1,<1
9/6/2020,1,29,2,1,<1
9/13/2020,1,31,3,<1,<1
9/20/2020,1,31,2,1,<1
9/27/2020,2,36,3,1,<1
10/4/2020,2,37,2,1,<1
10/11/2020,1,36,2,1,<1
10/18/2020,2,35,3,1,<1
10/25/2020,2,35,3,2,<1
11/1/2020,2,32,2,2,<1
11/8/2020,1,45,3,2,<1
