Week,dry cough: (Thailand),fever: (Thailand),COVID-19 symptoms: (Thailand),loss of smell: (Thailand),coronavirus testing center: (Thailand)
11/17/2019,3,72,0,0,0
11/24/2019,2,84,0,0,0
12/1/2019,2,72,0,0,0
12/8/2019,0,86,0,0,0
12/15/2019,2,74,0,0,0
12/22/2019,2,68,0,0,0
12/29/2019,4,79,0,2,0
1/5/2020,3,73,0,0,0
1/12/2020,2,64,0,2,0
1/19/2020,4,65,0,0,0
1/26/2020,3,81,0,2,0
2/2/2020,3,66,0,0,0
2/9/2020,6,63,0,0,0
2/16/2020,4,66,2,0,0
2/23/2020,2,71,2,0,0
3/1/2020,3,83,2,0,0
3/8/2020,3,96,0,0,0
3/15/2020,7,100,5,2,0
3/22/2020,4,82,3,3,0
3/29/2020,4,69,0,0,0
4/5/2020,3,58,3,0,0
4/12/2020,2,47,2,0,0
4/19/2020,0,66,2,2,0
4/26/2020,2,57,4,0,0
5/3/2020,0,49,2,0,0
5/10/2020,2,39,0,0,0
5/17/2020,0,47,2,2,0
5/24/2020,2,66,2,0,0
5/31/2020,2,63,0,0,0
6/7/2020,2,43,0,0,0
6/14/2020,0,53,2,2,0
6/21/2020,3,56,4,2,0
6/28/2020,2,57,2,0,0
7/5/2020,0,57,0,2,0
7/12/2020,3,56,2,0,0
7/19/2020,3,47,2,2,0
7/26/2020,2,59,2,0,0
8/2/2020,0,55,0,0,0
8/9/2020,3,61,2,2,0
8/16/2020,2,57,2,0,0
8/23/2020,4,54,0,2,0
8/30/2020,0,57,2,2,0
9/6/2020,4,69,4,0,0
9/13/2020,2,63,2,0,0
9/20/2020,3,64,2,0,0
9/27/2020,2,53,2,0,0
10/4/2020,2,51,3,0,0
10/11/2020,2,57,2,0,0
10/18/2020,0,60,2,2,0
10/25/2020,0,59,2,0,0
11/1/2020,2,56,2,0,0
11/8/2020,0,52,0,0,0
