Week,dry cough: (Turkey),fever: (Turkey),COVID-19 symptoms: (Turkey),loss of smell: (Turkey),coronavirus testing center: (Turkey)
11/17/2019,2,50,0,2,0
11/24/2019,2,42,0,0,0
12/1/2019,0,43,0,0,0
12/8/2019,0,100,0,0,0
12/15/2019,2,59,0,2,0
12/22/2019,2,59,0,0,0
12/29/2019,2,58,0,0,0
1/5/2020,0,53,0,0,0
1/12/2020,0,48,0,0,0
1/19/2020,2,61,0,0,0
1/26/2020,2,56,0,0,0
2/2/2020,2,53,0,0,0
2/9/2020,0,59,0,0,0
2/16/2020,2,48,0,0,0
2/23/2020,0,62,0,2,0
3/1/2020,2,45,2,0,0
3/8/2020,3,62,2,0,0
3/15/2020,6,93,3,0,0
3/22/2020,4,65,2,2,0
3/29/2020,3,59,3,2,0
4/5/2020,6,61,2,0,0
4/12/2020,3,63,2,0,0
4/19/2020,3,51,0,2,0
4/26/2020,4,49,0,2,0
5/3/2020,2,51,2,0,0
5/10/2020,2,48,0,0,0
5/17/2020,2,46,2,0,0
5/24/2020,2,44,3,0,0
5/31/2020,0,42,2,0,0
6/7/2020,2,39,2,0,0
6/14/2020,2,43,4,2,0
6/21/2020,2,41,0,0,0
6/28/2020,0,37,0,0,0
7/5/2020,0,53,2,0,0
7/12/2020,2,45,2,0,0
7/19/2020,0,41,2,0,0
7/26/2020,0,48,3,3,0
8/2/2020,2,35,5,0,0
8/9/2020,2,51,2,0,0
8/16/2020,2,47,3,0,0
8/23/2020,2,59,2,2,0
8/30/2020,0,48,2,0,0
9/6/2020,2,45,3,0,0
9/13/2020,2,42,2,0,0
9/20/2020,2,34,2,2,0
9/27/2020,0,43,2,0,0
10/4/2020,2,43,2,4,0
10/11/2020,2,46,2,2,0
10/18/2020,4,44,0,0,0
10/25/2020,2,35,2,0,0
11/1/2020,2,45,0,0,0
11/8/2020,0,58,0,0,0
