Week,dry cough: (Uganda),fever: (Uganda),COVID-19 symptoms: (Uganda),loss of smell: (Uganda),coronavirus testing center: (Uganda)
11/17/2019,9,63,0,0,0
11/24/2019,0,57,0,0,0
12/1/2019,9,49,0,0,0
12/8/2019,9,54,0,0,0
12/15/2019,12,60,0,0,0
12/22/2019,16,64,0,0,0
12/29/2019,10,23,0,0,0
1/5/2020,9,66,0,0,0
1/12/2020,8,50,0,8,0
1/19/2020,8,100,0,0,0
1/26/2020,8,56,0,0,0
2/2/2020,9,72,0,0,0
2/9/2020,13,72,0,0,0
2/16/2020,8,47,0,8,0
2/23/2020,16,84,16,0,0
3/1/2020,16,72,0,0,0
3/8/2020,8,59,0,0,0
3/15/2020,13,60,17,0,0
3/22/2020,27,88,29,0,0
3/29/2020,22,97,16,0,0
4/5/2020,16,44,16,0,0
4/12/2020,0,53,9,0,0
4/19/2020,8,68,9,0,0
4/26/2020,8,60,8,0,0
5/3/2020,8,55,8,0,0
5/10/2020,8,49,0,0,0
5/17/2020,8,64,16,0,0
5/24/2020,8,29,8,8,0
5/31/2020,8,55,8,0,0
6/7/2020,8,30,0,0,0
6/14/2020,7,34,14,0,0
6/21/2020,7,27,10,0,0
6/28/2020,0,22,6,0,0
7/5/2020,7,37,0,0,0
7/12/2020,10,26,0,6,0
7/19/2020,7,34,14,0,0
7/26/2020,0,54,7,7,0
8/2/2020,7,39,9,7,0
8/9/2020,7,31,0,0,0
8/16/2020,7,64,7,10,0
8/23/2020,7,46,7,14,0
8/30/2020,10,46,7,7,0
9/6/2020,7,34,7,0,0
9/13/2020,6,51,9,6,0
9/20/2020,12,35,6,6,0
9/27/2020,6,38,0,8,0
10/4/2020,12,38,0,6,0
10/11/2020,7,43,0,7,0
10/18/2020,6,45,12,0,0
10/25/2020,8,32,0,12,0
11/1/2020,13,37,6,6,0
11/8/2020,0,43,0,0,0
