Week,dry cough: (Ukraine),fever: (Ukraine),COVID-19 symptoms: (Ukraine),loss of smell: (Ukraine),coronavirus testing center: (Ukraine)
11/17/2019,0,56,0,0,0
11/24/2019,0,82,0,0,0
12/1/2019,0,100,0,0,0
12/8/2019,5,90,0,0,0
12/15/2019,5,69,0,0,0
12/22/2019,0,87,0,0,0
12/29/2019,9,67,0,0,0
1/5/2020,5,69,0,0,0
1/12/2020,5,51,0,0,0
1/19/2020,0,56,0,0,0
1/26/2020,5,65,0,0,0
2/2/2020,5,61,0,0,0
2/9/2020,5,65,0,0,0
2/16/2020,5,51,0,0,0
2/23/2020,0,96,0,0,0
3/1/2020,5,67,0,0,0
3/8/2020,10,44,5,0,0
3/15/2020,5,66,5,0,0
3/22/2020,5,82,5,5,0
3/29/2020,5,57,5,5,0
4/5/2020,0,62,5,0,0
4/12/2020,5,64,0,0,0
4/19/2020,0,62,0,0,0
4/26/2020,5,54,0,0,0
5/3/2020,0,60,0,0,0
5/10/2020,5,59,0,0,0
5/17/2020,5,81,0,0,0
5/24/2020,5,81,5,5,0
5/31/2020,0,71,0,0,0
6/7/2020,0,46,0,0,0
6/14/2020,0,45,10,0,0
6/21/2020,0,54,0,0,0
6/28/2020,5,48,5,0,0
7/5/2020,5,70,0,0,0
7/12/2020,0,54,0,0,0
7/19/2020,0,48,6,0,0
7/26/2020,0,63,5,5,0
8/2/2020,0,51,0,0,0
8/9/2020,6,70,0,0,0
8/16/2020,0,73,0,6,0
8/23/2020,0,47,6,6,0
8/30/2020,5,64,5,0,0
9/6/2020,0,60,5,0,0
9/13/2020,5,59,5,5,0
9/20/2020,5,73,0,5,0
9/27/2020,5,45,0,10,0
10/4/2020,5,59,0,5,0
10/11/2020,6,50,6,11,0
10/18/2020,6,72,0,6,0
10/25/2020,0,73,11,0,0
11/1/2020,0,81,0,5,0
11/8/2020,12,61,0,12,0
