Week,dry cough: (United Arab Emirates),fever: (United Arab Emirates),COVID-19 symptoms: (United Arab Emirates),loss of smell: (United Arab Emirates),coronavirus testing center: (United Arab Emirates)
11/17/2019,5,57,0,0,0
11/24/2019,5,50,0,2,0
12/1/2019,4,41,0,0,0
12/8/2019,4,48,0,0,0
12/15/2019,6,39,0,0,0
12/22/2019,10,44,0,0,0
12/29/2019,5,36,0,0,0
1/5/2020,7,48,0,0,0
1/12/2020,7,35,0,1,0
1/19/2020,5,41,0,0,0
1/26/2020,6,50,0,0,0
2/2/2020,7,53,0,0,0
2/9/2020,6,51,0,0,1
2/16/2020,6,43,0,1,0
2/23/2020,6,43,0,0,1
3/1/2020,13,58,2,0,2
3/8/2020,13,91,2,0,1
3/15/2020,21,100,2,2,1
3/22/2020,17,89,3,4,1
3/29/2020,11,77,2,2,1
4/5/2020,14,67,2,1,2
4/12/2020,12,65,4,2,1
4/19/2020,10,66,2,5,3
4/26/2020,9,69,3,6,1
5/3/2020,7,64,3,4,2
5/10/2020,8,53,2,3,1
5/17/2020,5,47,2,4,0
5/24/2020,5,42,2,3,0
5/31/2020,6,46,4,2,1
6/7/2020,5,32,5,0,0
6/14/2020,3,30,3,2,0
6/21/2020,2,30,2,0,0
6/28/2020,3,32,2,2,1
7/5/2020,3,29,1,2,1
7/12/2020,2,32,1,1,0
7/19/2020,3,27,2,1,1
7/26/2020,1,30,3,0,1
8/2/2020,4,30,3,1,0
8/9/2020,3,27,4,1,1
8/16/2020,1,30,2,1,1
8/23/2020,4,32,1,1,2
8/30/2020,3,31,4,2,1
9/6/2020,2,37,3,2,0
9/13/2020,4,33,4,1,1
9/20/2020,3,37,2,0,0
9/27/2020,5,21,1,1,1
10/4/2020,4,38,1,3,0
10/11/2020,3,33,0,2,0
10/18/2020,3,33,2,2,1
10/25/2020,3,27,1,3,3
11/1/2020,2,28,2,2,0
11/8/2020,4,27,4,0,0
