Week,dry cough: (United Kingdom),fever: (United Kingdom),COVID-19 symptoms: (United Kingdom),loss of smell: (United Kingdom),coronavirus testing center: (United Kingdom)
11/17/2019,3,27,0,<1,0
11/24/2019,3,32,0,<1,0
12/1/2019,3,32,0,<1,0
12/8/2019,3,39,0,<1,0
12/15/2019,3,38,0,<1,0
12/22/2019,4,33,0,<1,0
12/29/2019,3,28,0,<1,0
1/5/2020,3,26,0,<1,0
1/12/2020,2,27,0,<1,0
1/19/2020,2,29,0,<1,0
1/26/2020,3,30,0,<1,0
2/2/2020,3,30,0,<1,0
2/9/2020,3,33,<1,<1,0
2/16/2020,3,29,<1,<1,0
2/23/2020,3,32,<1,<1,0
3/1/2020,6,42,1,<1,<1
3/8/2020,15,71,3,<1,<1
3/15/2020,24,100,5,4,<1
3/22/2020,18,79,4,13,<1
3/29/2020,9,55,3,9,<1
4/5/2020,7,58,2,4,<1
4/12/2020,5,47,1,3,<1
4/19/2020,3,44,1,2,<1
4/26/2020,3,35,1,1,<1
5/3/2020,2,32,1,1,<1
5/10/2020,2,29,1,1,<1
5/17/2020,2,31,1,3,<1
5/24/2020,2,41,1,1,<1
5/31/2020,2,43,1,1,<1
6/7/2020,2,30,1,1,<1
6/14/2020,1,32,2,1,<1
6/21/2020,1,34,1,1,<1
6/28/2020,1,24,1,1,<1
7/5/2020,1,22,1,1,<1
7/12/2020,1,23,2,<1,<1
7/19/2020,1,26,2,<1,<1
7/26/2020,1,24,2,1,<1
8/2/2020,2,24,2,<1,<1
8/9/2020,1,20,1,<1,<1
8/16/2020,1,20,2,<1,<1
8/23/2020,1,20,1,<1,<1
8/30/2020,2,21,2,1,<1
9/6/2020,3,25,4,1,<1
9/13/2020,4,29,5,1,<1
9/20/2020,4,24,3,1,<1
9/27/2020,3,22,3,1,<1
10/4/2020,3,21,3,2,<1
10/11/2020,3,22,3,2,<1
10/18/2020,3,21,2,2,<1
10/25/2020,2,19,2,2,<1
11/1/2020,2,18,2,2,<1
11/8/2020,2,22,2,2,<1
