Week,dry cough: (United States),fever: (United States),COVID-19 symptoms: (United States),loss of smell: (United States),coronavirus testing center: (United States)
11/17/2019,2,34,0,<1,0
11/24/2019,2,32,0,<1,0
12/1/2019,2,33,0,<1,0
12/8/2019,2,35,0,<1,0
12/15/2019,2,39,0,<1,0
12/22/2019,3,48,0,<1,0
12/29/2019,3,45,0,<1,0
1/5/2020,3,40,0,<1,0
1/12/2020,2,41,0,<1,0
1/19/2020,3,44,0,<1,<1
1/26/2020,3,47,0,<1,<1
2/2/2020,3,46,0,<1,<1
2/9/2020,3,45,<1,<1,<1
2/16/2020,3,44,<1,<1,<1
2/23/2020,3,43,1,<1,<1
3/1/2020,3,48,2,<1,<1
3/8/2020,9,69,5,<1,<1
3/15/2020,14,100,9,<1,2
3/22/2020,11,88,7,5,1
3/29/2020,8,70,6,2,1
4/5/2020,6,57,4,1,<1
4/12/2020,4,43,3,1,<1
4/19/2020,3,39,2,1,<1
4/26/2020,3,35,2,1,<1
5/3/2020,2,33,2,1,<1
5/10/2020,2,33,2,1,<1
5/17/2020,1,31,2,1,<1
5/24/2020,1,30,2,1,<1
5/31/2020,1,28,2,<1,<1
6/7/2020,1,29,3,1,<1
6/14/2020,2,32,8,1,<1
6/21/2020,2,36,10,1,<1
6/28/2020,2,39,5,2,<1
7/5/2020,2,39,5,2,<1
7/12/2020,2,39,7,2,<1
7/19/2020,2,37,11,1,<1
7/26/2020,2,35,7,1,<1
8/2/2020,2,32,6,1,<1
8/9/2020,1,32,3,1,<1
8/16/2020,1,31,3,1,<1
8/23/2020,1,29,2,1,<1
8/30/2020,1,29,2,1,<1
9/6/2020,1,29,2,1,<1
9/13/2020,1,29,2,1,<1
9/20/2020,1,30,2,1,<1
9/27/2020,1,30,3,1,<1
10/4/2020,2,33,3,1,<1
10/11/2020,2,31,2,1,<1
10/18/2020,2,31,3,1,<1
10/25/2020,2,31,3,2,<1
11/1/2020,2,27,2,1,<1
11/8/2020,2,34,3,2,<1
