Week,dry cough: (Utah),fever: (Utah),COVID-19 symptoms: (Utah),loss of smell: (Utah),coronavirus testing center: (Utah)
11/17/2019,3,40,0,0,0
11/24/2019,2,36,0,0,0
12/1/2019,3,40,0,0,0
12/8/2019,3,40,0,0,0
12/15/2019,2,41,0,0,0
12/22/2019,5,52,0,0,0
12/29/2019,4,57,0,0,0
1/5/2020,5,51,0,1,0
1/12/2020,3,47,0,0,0
1/19/2020,2,50,0,0,0
1/26/2020,3,54,0,0,2
2/2/2020,4,55,0,0,0
2/9/2020,4,53,0,0,0
2/16/2020,5,51,1,0,0
2/23/2020,3,52,1,2,0
3/1/2020,4,53,3,0,0
3/8/2020,8,68,10,0,2
3/15/2020,15,96,16,1,1
3/22/2020,16,100,13,4,3
3/29/2020,9,85,9,2,2
4/5/2020,5,61,7,1,1
4/12/2020,3,49,5,1,2
4/19/2020,4,42,4,1,1
4/26/2020,2,46,2,1,0
5/3/2020,2,39,2,1,0
5/10/2020,2,38,2,2,1
5/17/2020,3,33,3,1,1
5/24/2020,1,34,3,1,1
5/31/2020,4,35,3,1,0
6/7/2020,3,35,3,1,1
6/14/2020,3,42,7,1,0
6/21/2020,3,44,12,2,1
6/28/2020,1,37,6,0,1
7/5/2020,2,42,8,4,0
7/12/2020,2,43,10,2,0
7/19/2020,3,40,12,2,0
7/26/2020,2,36,12,4,0
8/2/2020,2,33,5,1,1
8/9/2020,1,31,3,2,1
8/16/2020,2,33,8,2,0
8/23/2020,2,36,4,0,0
8/30/2020,2,28,6,5,0
9/6/2020,2,35,6,1,0
9/13/2020,2,39,5,3,1
9/20/2020,2,41,5,0,1
9/27/2020,1,37,5,1,0
10/4/2020,3,42,4,4,1
10/11/2020,2,35,6,1,0
10/18/2020,4,38,3,2,0
10/25/2020,3,40,5,4,0
11/1/2020,2,35,2,2,1
11/8/2020,3,38,9,9,3
