Week,dry cough: (Vermont),fever: (Vermont),COVID-19 symptoms: (Vermont),loss of smell: (Vermont),coronavirus testing center: (Vermont)
11/17/2019,0,21,0,0,0
11/24/2019,0,13,0,0,0
12/1/2019,5,12,0,0,0
12/8/2019,0,24,0,5,0
12/15/2019,0,13,0,0,0
12/22/2019,0,36,0,0,0
12/29/2019,0,31,0,0,0
1/5/2020,5,38,0,0,0
1/12/2020,9,42,0,0,0
1/19/2020,0,39,0,0,0
1/26/2020,0,40,0,0,0
2/2/2020,4,33,0,4,0
2/9/2020,7,47,0,0,0
2/16/2020,4,36,0,0,0
2/23/2020,5,38,0,0,0
3/1/2020,4,34,6,0,0
3/8/2020,9,62,11,0,0
3/15/2020,8,100,20,0,0
3/22/2020,12,60,10,8,0
3/29/2020,11,62,8,0,0
4/5/2020,6,40,0,4,0
4/12/2020,4,22,4,4,0
4/19/2020,6,19,8,4,0
4/26/2020,4,15,4,0,0
5/3/2020,0,34,4,0,0
5/10/2020,0,29,4,0,0
5/17/2020,0,15,0,0,0
5/24/2020,0,22,0,0,0
5/31/2020,0,31,4,0,0
6/7/2020,0,16,0,0,0
6/14/2020,0,15,4,0,0
6/21/2020,0,30,13,0,0
6/28/2020,0,15,0,0,0
7/5/2020,0,34,0,0,0
7/12/2020,4,22,4,0,0
7/19/2020,4,18,20,0,0
7/26/2020,0,24,4,0,0
8/2/2020,0,15,4,4,0
8/9/2020,0,22,4,0,0
8/16/2020,4,22,4,0,0
8/23/2020,0,25,0,0,0
8/30/2020,0,23,4,0,0
9/6/2020,0,23,4,0,0
9/13/2020,0,18,0,0,0
9/20/2020,4,23,8,0,0
9/27/2020,0,28,4,4,0
10/4/2020,0,22,0,0,0
10/11/2020,0,30,5,0,0
10/18/2020,5,36,5,0,0
10/25/2020,0,15,0,0,0
11/1/2020,4,27,0,0,0
11/8/2020,0,17,0,0,0
