Week,dry cough: (Vietnam),fever: (Vietnam),COVID-19 symptoms: (Vietnam),loss of smell: (Vietnam),coronavirus testing center: (Vietnam)
11/17/2019,3,70,0,0,0
11/24/2019,0,61,0,3,0
12/1/2019,7,76,0,0,0
12/8/2019,7,56,0,0,0
12/15/2019,3,82,0,0,0
12/22/2019,3,59,0,3,0
12/29/2019,4,67,0,0,0
1/5/2020,5,84,0,0,0
1/12/2020,3,75,0,0,0
1/19/2020,10,68,0,0,0
1/26/2020,5,100,0,0,0
2/2/2020,8,77,0,0,0
2/9/2020,3,57,0,0,0
2/16/2020,5,73,2,0,0
2/23/2020,0,75,0,0,0
3/1/2020,2,52,2,0,0
3/8/2020,7,72,2,0,0
3/15/2020,2,69,2,0,0
3/22/2020,2,74,5,0,0
3/29/2020,4,74,0,0,0
4/5/2020,3,61,0,0,0
4/12/2020,8,61,0,0,0
4/19/2020,0,67,0,0,0
4/26/2020,3,58,0,0,0
5/3/2020,0,40,3,0,0
5/10/2020,5,54,0,0,0
5/17/2020,0,58,0,0,0
5/24/2020,3,59,0,0,0
5/31/2020,3,47,0,0,0
6/7/2020,3,48,0,0,0
6/14/2020,4,49,6,0,0
6/21/2020,5,63,0,0,0
6/28/2020,0,59,3,3,0
7/5/2020,5,67,0,0,0
7/12/2020,3,56,0,0,0
7/19/2020,3,57,0,0,0
7/26/2020,4,51,3,3,0
8/2/2020,4,68,2,2,0
8/9/2020,2,58,2,0,0
8/16/2020,2,58,0,0,0
8/23/2020,3,54,3,0,0
8/30/2020,0,62,3,0,0
9/6/2020,0,55,4,0,0
9/13/2020,0,59,0,0,0
9/20/2020,3,44,0,0,0
9/27/2020,3,60,0,0,0
10/4/2020,7,50,0,0,0
10/11/2020,3,42,3,0,0
10/18/2020,3,58,0,0,0
10/25/2020,3,58,0,0,0
11/1/2020,0,50,0,3,0
11/8/2020,0,22,6,0,0
