Week,dry cough: (Virginia),fever: (Virginia),COVID-19 symptoms: (Virginia),loss of smell: (Virginia),coronavirus testing center: (Virginia)
11/17/2019,3,33,0,<1,0
11/24/2019,2,30,0,<1,0
12/1/2019,3,32,0,<1,0
12/8/2019,2,33,0,<1,0
12/15/2019,2,36,0,<1,0
12/22/2019,2,50,0,0,0
12/29/2019,3,43,0,<1,0
1/5/2020,2,37,0,<1,0
1/12/2020,2,35,0,<1,0
1/19/2020,2,40,0,<1,0
1/26/2020,3,47,0,0,0
2/2/2020,4,47,0,0,0
2/9/2020,2,44,0,<1,0
2/16/2020,3,41,1,0,0
2/23/2020,2,44,1,<1,0
3/1/2020,3,49,1,1,0
3/8/2020,8,74,6,1,1
3/15/2020,15,100,7,<1,2
3/22/2020,13,74,7,4,1
3/29/2020,8,61,7,2,1
4/5/2020,5,61,5,1,1
4/12/2020,4,42,3,1,1
4/19/2020,3,42,3,1,<1
4/26/2020,3,35,3,1,<1
5/3/2020,2,34,2,1,<1
5/10/2020,2,30,2,1,<1
5/17/2020,1,31,3,<1,<1
5/24/2020,2,32,1,1,<1
5/31/2020,2,31,2,1,<1
6/7/2020,1,30,2,1,0
6/14/2020,2,28,8,1,<1
6/21/2020,2,33,8,1,0
6/28/2020,1,35,4,2,<1
7/5/2020,2,32,5,1,<1
7/12/2020,2,35,9,2,<1
7/19/2020,2,37,12,1,<1
7/26/2020,2,35,6,1,1
8/2/2020,2,30,7,1,<1
8/9/2020,1,33,3,1,0
8/16/2020,1,31,2,1,0
8/23/2020,2,27,2,1,<1
8/30/2020,3,31,2,1,0
9/6/2020,2,26,2,1,<1
9/13/2020,1,28,2,1,<1
9/20/2020,2,30,1,1,<1
9/27/2020,2,31,3,1,<1
10/4/2020,1,31,3,1,0
10/11/2020,2,30,2,1,0
10/18/2020,2,27,3,1,0
10/25/2020,1,27,2,2,<1
11/1/2020,2,24,2,1,<1
11/8/2020,3,31,3,2,0
