Week,dry cough: (Wyoming),fever: (Wyoming),COVID-19 symptoms: (Wyoming),loss of smell: (Wyoming),coronavirus testing center: (Wyoming)
11/17/2019,0,43,0,0,0
11/24/2019,9,33,0,9,0
12/1/2019,9,30,0,0,0
12/8/2019,0,37,0,0,0
12/15/2019,9,31,0,0,0
12/22/2019,0,48,0,0,0
12/29/2019,9,30,0,0,0
1/5/2020,0,36,0,0,0
1/12/2020,9,58,0,0,0
1/19/2020,18,54,0,0,0
1/26/2020,0,69,0,0,0
2/2/2020,8,41,0,0,0
2/9/2020,0,63,0,0,0
2/16/2020,17,61,0,0,0
2/23/2020,0,44,8,0,0
3/1/2020,0,57,8,0,0
3/8/2020,28,55,11,0,0
3/15/2020,18,99,13,0,0
3/22/2020,15,100,8,7,0
3/29/2020,12,55,12,7,0
4/5/2020,11,83,0,0,0
4/12/2020,0,39,7,0,0
4/19/2020,0,26,7,0,0
4/26/2020,7,47,7,7,0
5/3/2020,7,36,7,0,0
5/10/2020,8,38,0,0,0
5/17/2020,8,34,8,8,0
5/24/2020,8,38,8,0,0
5/31/2020,0,36,0,0,0
6/7/2020,0,28,8,0,0
6/14/2020,0,35,16,0,0
6/21/2020,0,27,8,8,0
6/28/2020,8,38,12,0,0
7/5/2020,0,46,12,0,0
7/12/2020,0,54,8,0,0
7/19/2020,8,38,8,8,0
7/26/2020,0,27,8,8,0
8/2/2020,8,35,8,0,0
8/9/2020,8,49,0,0,0
8/16/2020,8,24,13,0,0
8/23/2020,8,29,8,0,0
8/30/2020,8,43,0,0,0
9/6/2020,0,35,8,0,0
9/13/2020,0,48,8,8,0
9/20/2020,8,59,0,0,0
9/27/2020,0,28,13,9,0
10/4/2020,0,38,0,17,0
10/11/2020,0,53,14,0,0
10/18/2020,9,46,0,0,0
10/25/2020,0,38,24,0,0
11/1/2020,8,39,19,8,0
11/8/2020,20,48,21,21,0
