Week,dry cough: (Zambia),fever: (Zambia),COVID-19 symptoms: (Zambia),loss of smell: (Zambia),coronavirus testing center: (Zambia)
11/17/2019,0,70,0,0,0
11/24/2019,0,29,0,0,0
12/1/2019,0,41,0,0,0
12/8/2019,9,81,0,0,0
12/15/2019,9,37,0,0,0
12/22/2019,0,57,0,0,0
12/29/2019,10,34,0,0,0
1/5/2020,0,55,0,0,0
1/12/2020,9,67,0,0,0
1/19/2020,9,31,0,0,0
1/26/2020,0,44,0,0,0
2/2/2020,8,42,0,0,0
2/9/2020,0,69,0,0,0
2/16/2020,9,48,0,0,0
2/23/2020,9,47,0,0,0
3/1/2020,0,37,0,0,0
3/8/2020,8,51,0,0,0
3/15/2020,0,58,9,0,0
3/22/2020,13,64,9,0,0
3/29/2020,8,100,8,0,0
4/5/2020,0,70,9,0,0
4/12/2020,9,75,0,0,0
4/19/2020,18,50,0,0,0
4/26/2020,9,53,18,9,0
5/3/2020,9,44,0,0,0
5/10/2020,0,38,0,0,0
5/17/2020,26,95,0,0,0
5/24/2020,0,54,0,0,0
5/31/2020,8,41,0,0,0
6/7/2020,8,64,0,0,0
6/14/2020,16,45,0,8,0
6/21/2020,0,27,8,0,0
6/28/2020,0,70,8,0,0
7/5/2020,15,43,0,15,0
7/12/2020,0,51,8,24,0
7/19/2020,0,41,29,8,0
7/26/2020,11,87,15,0,0
8/2/2020,8,65,8,8,0
8/9/2020,11,56,15,7,0
8/16/2020,0,41,7,7,0
8/23/2020,0,42,0,0,0
8/30/2020,8,49,0,8,0
9/6/2020,0,65,0,0,0
9/13/2020,7,33,0,0,0
9/20/2020,0,26,0,0,0
9/27/2020,15,30,8,0,0
10/4/2020,8,71,0,8,0
10/11/2020,8,55,0,0,0
10/18/2020,0,65,8,0,0
10/25/2020,8,72,0,8,0
11/1/2020,7,43,7,0,0
11/8/2020,18,37,0,0,0
