Week,dry cough: (Zimbabwe),fever: (Zimbabwe),COVID-19 symptoms: (Zimbabwe),loss of smell: (Zimbabwe),coronavirus testing center: (Zimbabwe)
11/17/2019,0,37,0,0,0
11/24/2019,0,40,0,0,0
12/1/2019,16,48,0,0,0
12/8/2019,0,24,0,0,0
12/15/2019,16,37,0,0,0
12/22/2019,0,20,0,0,0
12/29/2019,0,63,0,0,0
1/5/2020,15,37,0,0,0
1/12/2020,0,21,0,0,0
1/19/2020,13,30,0,0,0
1/26/2020,0,31,0,0,0
2/2/2020,0,23,0,0,0
2/9/2020,0,35,0,0,0
2/16/2020,0,48,0,0,0
2/23/2020,0,29,0,0,0
3/1/2020,25,49,0,0,0
3/8/2020,0,35,0,0,0
3/15/2020,12,80,12,0,0
3/22/2020,38,100,31,12,0
3/29/2020,21,69,13,13,0
4/5/2020,13,94,13,13,0
4/12/2020,26,30,13,0,0
4/19/2020,0,34,0,0,0
4/26/2020,0,32,0,0,0
5/3/2020,12,29,12,0,0
5/10/2020,12,31,12,0,0
5/17/2020,0,31,12,0,0
5/24/2020,12,23,0,0,0
5/31/2020,0,28,0,0,0
6/7/2020,11,25,11,0,0
6/14/2020,10,32,10,11,0
6/21/2020,0,44,0,0,0
6/28/2020,10,20,0,0,0
7/5/2020,10,36,30,10,0
7/12/2020,10,23,0,10,0
7/19/2020,10,65,45,20,0
7/26/2020,10,47,17,17,0
8/2/2020,15,76,43,20,0
8/9/2020,0,53,16,10,0
8/16/2020,10,31,10,20,0
8/23/2020,10,51,0,0,0
8/30/2020,0,17,10,11,0
9/6/2020,10,28,10,0,0
9/13/2020,0,30,10,0,0
9/20/2020,10,31,0,0,0
9/27/2020,0,15,11,0,0
10/4/2020,0,38,0,11,0
10/11/2020,11,22,0,0,0
10/18/2020,11,28,0,11,0
10/25/2020,10,35,10,0,0
11/1/2020,0,23,10,0,0
11/8/2020,25,24,0,0,0
