Week,dry cough: (state-Georgia),fever: (state-Georgia),COVID-19 symptoms: (state-Georgia),loss of smell: (state-Georgia),coronavirus testing center: (state-Georgia)
11/17/2019,2,36,0,1,0
11/24/2019,2,36,0,<1,0
12/1/2019,3,34,0,0,0
12/8/2019,2,38,0,0,0
12/15/2019,3,44,0,0,0
12/22/2019,3,49,0,<1,0
12/29/2019,4,43,0,0,0
1/5/2020,3,37,0,0,0
1/12/2020,2,38,0,<1,0
1/19/2020,2,38,0,0,0
1/26/2020,2,44,0,0,0
2/2/2020,2,44,0,0,0
2/9/2020,2,45,0,<1,0
2/16/2020,2,38,0,<1,0
2/23/2020,3,36,1,0,0
3/1/2020,3,41,1,0,0
3/8/2020,7,60,3,1,1
3/15/2020,14,100,8,1,1
3/22/2020,12,86,5,5,<1
3/29/2020,10,71,6,1,<1
4/5/2020,6,57,5,1,1
4/12/2020,4,39,3,1,<1
4/19/2020,4,43,3,<1,<1
4/26/2020,4,31,3,1,<1
5/3/2020,3,33,2,<1,1
5/10/2020,2,34,3,<1,0
5/17/2020,2,30,2,1,1
5/24/2020,2,28,1,1,1
5/31/2020,1,26,2,1,<1
6/7/2020,1,32,4,<1,0
6/14/2020,2,32,10,1,<1
6/21/2020,2,38,15,2,1
6/28/2020,2,45,7,3,1
7/5/2020,2,43,8,3,1
7/12/2020,3,46,9,3,1
7/19/2020,2,41,16,2,<1
7/26/2020,2,39,10,1,<1
8/2/2020,3,39,8,2,<1
8/9/2020,3,35,4,1,<1
8/16/2020,2,35,4,1,<1
8/23/2020,2,32,3,1,0
8/30/2020,1,32,3,1,<1
9/6/2020,2,33,3,1,0
9/13/2020,2,34,2,1,0
9/20/2020,1,28,2,1,<1
9/27/2020,2,32,1,1,0
10/4/2020,3,32,3,2,0
10/11/2020,2,31,2,1,0
10/18/2020,1,33,2,1,0
10/25/2020,2,26,2,1,0
11/1/2020,1,26,1,1,0
11/8/2020,2,29,2,1,0
